,SiteCode,Specie,X,N,AB,DA,DoA,sindr,ssindr,major_disp,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,blacklisted,blackwood,forest_size,effort_ha,dominio,lat_munici,altitude,PP,Temp,Lat,Longitud,ESTADIO,forest.type,ALT_RAST,TEMP_RAST,PP_RASTER,FOREST_RASTER,biomassproxi,Carbonproxi
4270,SPeec1,Sp60,4423,35,4.552347671,3.41796875,0.444565202,abiotic,anemochoric,,10,31,6.5,7,0.62,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,3.910268121,1.126157219
4271,SPeec1,Sp61,4424,7,0.035821878,0.68359375,0.00349823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4272,SPeec1,Sp62,4425,2,0.014451269,0.1953125,0.001411257,zoochoric,birds,,6.53,6.95,3.84,6.1,0.83,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.013440726,0.003870929
4273,SPeec1,Sp63,4426,1,0.003344243,0.09765625,0.000326586,zoochoric,birds,,12,16,10,13,0.62220625,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.002470233,0.000711427
4274,SPeec1,Sp64,4427,5,0.054450805,0.48828125,0.005317461,zoochoric,mixed,,40,40,10,20,0.82,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.059451643,0.017122073
4275,SPeec1,Sp65,4428,1,0.00257831,0.09765625,0.000251788,zoochoric,birds,,20,28,8.6,12.8,0.65,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001025039,0.000295211
4276,SPeec1,Sp66,4429,1,0.006061893,0.09765625,0.000591982,abiotic,anemochoric,NA,10,340,6,22,0.85,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.004495062,0.001294578
4277,SPeec1,Sp67,4430,8,0.244261139,0.78125,0.023853627,abiotic,anemochoric,,NA,NA,16.6,23.3,0.22,12,yes,yes,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.034971661,0.010071838
4278,SPeec1,Sp68,4431,105,3.736968966,10.25390625,0.364938376,zoochoric,bats,,30,32,2,2.1,0.92,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.950904492,0.561860494
4279,SPeec1,Sp69,4432,2,0.012465333,0.1953125,0.001217318,zoochoric,mammals,,50,120,19.1,29,0.844651282,20,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.011849093,0.003412539
4280,SPeec1,Sp70,4433,38,0.153095357,3.7109375,0.014950718,zoochoric,mammals,NA,15,110,9,11,0.585,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.071115443,0.020481248
4281,SPeec1,Sp71,4434,41,1.033217657,4.00390625,0.100900162,zoochoric,mammals,NA,34,96,3.18,16.8,0.579,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.589334535,0.169728346
4282,SPeec1,Sp72,4435,5,0.022785656,0.48828125,0.002225162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4283,SPeec1,Sp73,4436,25,0.619749508,2.44140625,0.060522413,abiotic,anemochoric,,46.7,48,8,8,0.54,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.416994593,0.120094443
4284,SPeec1,Sp74,4437,26,1.769265501,2.5390625,0.172779834,zoochoric,mammals,,42,68,5,6.1,0.325,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.839505051,0.241777455
4285,SPeec1,Sp75,4438,1,0.075648334,0.09765625,0.007387533,abiotic,autochoric,NA,19,65,8,13,0.89,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.043491289,0.012525491
4286,SPeec1,Sp76,4439,52,2.17122436,5.078125,0.212033629,abiotic,anemochoric,NA,9.79,89.04,2.49,9.4,0.74,3,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.24464123,0.070456674
4287,SPeec1,Sp77,4440,1,0.133453409,0.09765625,0.013032559,abiotic,anemochoric,,10,20,4.3,11.3,0.60155,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.104845975,0.030195641
4288,SPeec1,Sp78,4441,5,0.088070457,0.48828125,0.008600631,abiotic,anemochoric,NA,17,63,8,12,0.66,8,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.025491829,0.007341647
4289,SPeec1,Sp79,4442,16,0.565884154,1.5625,0.055262124,abiotic,anemochoric,NA,18,47,6,16,0.95,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.479979255,0.138234026
4290,SPeec1,Sp80,4443,103,3.528916054,10.05859375,0.344620708,abiotic,anemochoric,,12,58,7,12,0.84,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.097430795,0.604060069
4291,SPeec1,Sp81,4444,2,0.102249411,0.1953125,0.009985294,zoochoric,mixed,,12.6,14.2,2.1,2.5,0.8366,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.132981888,0.038298784
4292,SPeec1,Sp82,4445,9,0.151000003,0.87890625,0.014746094,zoochoric,birds,,7.57,9.44,1.75,2.54,0.48,16,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.061687557,0.017766017
4293,SPeec1,Sp83,4446,1,0.001790493,0.09765625,0.000174853,zoochoric,birds,,8,10,7.5,10,0.83,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001783915,0.000513767
